"list_name","name","label::Malagasy (mg)","label::French (fr)","label::English (en)"
"crops","0","0 - Monoculture ( tsy misy afatsy voly tokana)","0 - Monoculture (ou absence de cultures cultivées)","0 - Monoculture (or no crops cultivated)"
"crops","0.5","0.5","0.5","0.5"
"crops","1","1 - Voly somary vitsivitsy kely na voly tokana mandrakotra ny ankamaroan'ny faritra voavoly","1 - Petit nombre de cultures ou une seule culture couvrant la grande majorité de la surface cultivée.","1 - Small number of crops or one crop covering the big majority of the cultivated area."
"crops","1.5","1.5","1.5","1.5"
"crops","2","Eo eo ihany ny karazan'ny voly atao eny amin'ny velaran-tany somary ngeza","2 - Nombre moyen de cultures avec une surface cultivée significative.","2 - Average number of crops with significant cultivated area."
"crops","2.5","2.5","2.5","2.5"
"crops","3","3 - Maro ny karazana voly atao ary amin'ny velaran-tany ngeza","3 - Nombre significatif de cultures, incluant un pourcentage important de surface cultivée avec des légumineuses ou d'autres plantes fixatrices d'azote.","3 - Significant number of crops, including a significant percentage of area cultivated with legumes or other nitrogen-fixing plants."
"crops","3.5","3.5","3.5","3.5"
"crops","4","4 - Tena Maro ny karazana voly atao ary amin'ny velaran-tany tena ngeza","4 - Grand nombre de cultures, incluant un pourcentage important de surface cultivée avec des légumineuses dans une exploitation agricole spatialement diversifiée avec une pratique de culture multiple, poly- ou cultures intercalaires.","4 - High number of crops, including a significant percentage of area cultivated with legumes in a spatially diversified farm with multi-, poly-or inter-cropping."
"animals","0","0 - Tsy misy fiompiana biby ","0 - Absence d'élevage d'animaux","0 - No animals raised"
"animals","0.5","0.5","0.5","0.5"
"animals","1","1 - Biby vitsivitsy amin'ny karazany iray na biby betsaka amin'ny karazana tokana ","1 - Quelques animaux d'une seule espèce ou un grand nombre d'animaux d'une seule race","1 - Few animals of one species only or high number of animals of one breed only"
"animals","1.5","1.5","1.5","1.5"
"animals","2","2 - Biby misy karazany mihoatra ny iray ","2 - Quelques animaux de plus d'une espèce","2 - Some animals of more than one species"
"animals","2.5","2.5","2.5","2.5"
"animals","3","3 - Betsaka biby isan-karazany ","3 - Nombre significatif d'animaux de différentes espèces","3 - Significant number of animals of different species."
"animals","3.5","3.5","3.5","3.5"
"animals","4","4 - Biby tena maro sady tena betsaka samihafa karazana ","4 - Grand nombre d'animaux de différentes espèces et races intégrés dans le système de production","4 - High number of animals of different species and breeds integrated within the production system"
"trees","0","0 - Pas d'arbres (ni d'autres plantes vivaces).","0 - Pas d'arbres (ni d'autres plantes vivaces).","0 - No trees (nor other perennials)."
"trees","0.5","0,5","0.5","0.5"
"trees","1","1 - Peu d'arbres (et / ou d'autres plantes vivaces) d'une seule espèce.","1 - Peu d'arbres (et / ou d'autres plantes vivaces) d'une seule espèce.","1 - Few trees (and/or other perennials) of one species only."
"trees","1.5","1,5","1.5","1.5"
"trees","2","2 - Certains arbres (et / ou autres plantes vivaces) de plus d'une espèce.","2 - Certains arbres (et / ou autres plantes vivaces) de plus d'une espèce.","2 - Some trees (and/or other perennials) of more than one species."
"trees","2.5","2,5","2.5","2.5"
"trees","3","3 - Nombre important d'arbres (et / ou autres vivaces) d'espèces différentes.","3 - Nombre important d'arbres (et / ou autres vivaces) d'espèces différentes.","3 - Significant number of trees (and/or other perennials) of different species."
"trees","3.5","3,5","3.5","3.5"
