"list_name","name","label::English (en)"
"ae_know","score","definition"
"aname","0","Cow / Bull"
"aname","1","Bison"
"aname","2","Water buffalo"
"aname","3","Horse"
"aname","4","Reindeer"
"aname","5","Donkey"
"aname","6","Mule"
"aname","7","Sheep"
"aname","8","Goat"
"aname","9","Pig"
"aname","10","Camel"
"aname","11","Llama"
"aname","12","Rabbit"
"aname","13","Chicken"
"aname","14","Duck"
"aname","15","Goose"
"aname","16","Turkey"
"aname","17","Pigeon"
"aname","18","Ostrich"
"aname","19","Fish"
"aname","20","Crustaceans"
"aname","21","Molluscs"
"aname","22","Peacock"
"aname","23","Crocodiles and other reptiles"
"aname","771","Other 1"
"aname","772","Other 2"
"aname","773","Other 3"
"animals","score","definition"
"animalwel","score","definition"
"animprod","11","Meat, bovine"
"animprod","12","Meat, pig"
"animprod","13","Meat, sheep"
"animprod","14","Meat, goat"
"animprod","15","Meat, poultry"
"animprod","16","Meat, other"
"animprod","17","Cured meat"
"animprod","18","Fat"
"animprod","19","Fat oils"
"animprod","20","Entrails"
"animprod","21","Milk, cow"
"animprod","22","Milk, other"
"animprod","23","Cheese"
"animprod","24","Yogurt"
"animprod","25","Butter"
"animprod","26","Eggs"
"animprod","27","Honey"
"animprod","28","Bee wax"
"animprod","29","Wool"
"animprod","30","Skins"
"animprod","31","Silk"
"animprod","77","Other"
"animprod","771","Other 1"
"animprod","772","Other 2"
"animprod","773","Other 3"
"animprod","-97","None"
"antib","1","I do not use antibiotics at all"
"antib","2","For treatment of diseases only"
"antib","3","For prevention of diseases"
"antib","4","For both prevention of diseases and growth promotion"
"antib","5","For growth promotion"
"apunmeas","kg","Kg"
"apunmeas","l","L"
"apunmeas","num","Number of"
"apunmeas","oth","Other"
"bee","1","Yes, bees are raised and are very abudant within the agroecosystem."
"bee","2","Yes, bees are raised within the agroecosystem."
"bee","3","No, bees are not raised, but bees and pollinators are widespread within the agroecosystem."
"bee","4","No, bees are not raised and are rare within the agroecosystem."
"cla_int","score","definition"
"soil_color","1","1 Pale and no presence of humus"
"soil_color","2","2"
"soil_color","3","3 Light brown, odorless, and some presence of humus"
"soil_color","4","4"
"soil_color","5","5 Dark brown, fresh odor, and abundant humus"
"soil_compaction","1","1 Compacted soil, flag bends readily"
"soil_compaction","2","2"
"soil_compaction","3","3 Thin compacted layer, some restrictions to a penetrating wire"
"soil_compaction","4","4"
"soil_compaction","5","5 No compaction, flag can penetrate all the way into the soil"
"connectivity","score","definition"
"country","id","name"
"soil_cover","1","1 Bare soil"
"soil_cover","2","2"
"soil_cover","3","3 Less than 50% soil covered by residues or live cover"
"soil_cover","4","4"
"soil_cover","5","5 More than 50% soil covered by residues or live cover"
"credit","1","Possible in official and secure channels (bank or similar)"
"credit","2","Possible in non-official channels"
"credit","3","Not possible. Access to credit is too hard or too risky"
"crop_area_unit","language_unit_id","name_rate"
"crop_weight_unit","language_unit_id","name_rate"
"crops","score","definition"
"currency","USD","USD-United States dollar"
"currency","EUR","EUR-Euro"
"currency","ETB","ETB-Ethiopian birr"
"currency","KES","KES-Kenyan shilling"
"currency","MGA","MGA-Malagasy ariary"
"currency","XOF","XOF-West African CFA franc"
"currency","1","Other (specify)"
"dec","1","Completely the man"
"dec","2","Mostly the man"
"dec","3","Both man and woman"
"dec","4","Mostly the woman"
"dec","5","Completely the woman"
"dec","6","Someone else outside the family"
"dec","88","Not applicable"
"soil_depth","1","1 Thin soil > 1 foot until you hit rock or there is exposed rock on the soil surface"
"soil_depth","2","2"
"soil_depth","3","3 Shallow to moderate soil – less than 3 feet (1 meter) until you reach bedrock"
"soil_depth","4","4"
"soil_depth","5","5 Deep soil, more than three feet deepSuperficial soil"
"diet","score","definition"
"dietyn","1","Yes, I ate it in the last 24 hours"
"dietyn","0","No, I did not eat it in the last 24 hours"
"dietyn","-99","Don't know / Refused to answer"
"div_activ","score","definition"
"doc","1","Title deed"
"doc","2","Certificate of customary tenure"
"doc","3","Certificate of occupancy"
"doc","4","Registered will or registered certificate of hereditary acquisition"
"doc","5","Registered certificate of perpetual / long term lease"
"doc","6","Registered rental contract"
"doc","7","Secure mobility corridor"
"doc","77","Other"
"ecoman","1","Cultural control (more resistant varieties are chosen for production; plants and fruits presenting signs of disease are removed manually; crops are grown in crop rotation and intercropping schemes, etc.)"
"ecoman","2","Plantation of natural repelling plants"
"ecoman","3","Use of cover crops to increase biological interactions"
"ecoman","4","Favor the reproduction of beneficial organisms for biological-control"
"ecoman","5","Favor biodiversity and spatial diversity within the agroecosystem"
"ecoman","77","Other"
"ecoman","7","None of these"
"edulev","1","Cannot read nor write"
"edulev","2","Able to read and write"
"edulev","3","Elementary"
"edulev","4","High school"
"edulev","5","University or higher"
"soil_erosion","1","1 Severe erosion, presence of gullies"
"soil_erosion","2","2"
"soil_erosion","3","3 Evident, but low erosion signs (e.g. rill/sheet erosion)"
"soil_erosion","4","4"
"soil_erosion","5","5 No visible signs of erosion"
"ext_inp","score","definition"
"farms","id","name"
"farms","-99","Farm not displayed on list"
"fruits","558","Berries nes"
"fruits","577","Dates"
"fruits","515","Apples"
"fruits","568","Melons, other (inc.cantaloupes)"
"fruits","536","Plums and sloes"
"fruits","534","Peaches and nectarines"
"fruits","560","Grapes"
"fruits","567","Watermelons"
"fruits","526","Apricots"
"fruits","569","Figs"
"fruits","521","Pears"
"fruits","544","Strawberries"
"fruits","495","Tangerines, mandarins, clementines, satsumas"
"fruits","530","Cherries, sour"
"fruits","497","Lemons and limes"
"fruits","531","Cherries"
